x_max,signal,k,gamma,peak_omega,abs_gap,rel_gap
1000000000,theta_norm,8,43.327073281,43.515409604952126,0.18833632395212874,0.004346850818440094
1000000000,theta_norm,9,48.005150881,47.98895638676964,0.01619449423036201,0.0003373490955274061
1000000000,theta_norm,10,49.773832478,49.61570067106691,0.15813180693309192,0.00317700685401282
1000000000,psi_norm,1,14.134725141,14.234012487601163,0.09928734660116234,0.007024356371328632
1000000000,psi_norm,2,21.022039639,21.147675695864585,0.125636056864586,0.0059763971061831
1000000000,psi_norm,3,25.01085758,24.807850335533455,0.20300724446654428,0.008116764641804188
1000000000,psi_norm,4,30.424876126,30.501455330573922,0.07657920457392109,0.00251699314261067
1000000000,psi_norm,5,32.935061588,32.94157175701984,0.006510169019833256,0.000197666823923756
1000000000,psi_norm,6,37.586178159,37.41511853883734,0.17105962016265863,0.004551130988605141
1000000000,psi_norm,7,40.918719012,41.075293178506215,0.1565741665062177,0.0038264679414890795
1000000000,psi_norm,8,43.327073281,43.515409604952126,0.18833632395212874,0.004346850818440094
1000000000,psi_norm,9,48.005150881,47.98895638676964,0.01619449423036201,0.0003373490955274061
1000000000,psi_norm,10,49.773832478,49.61570067106691,0.15813180693309192,0.00317700685401282
3000000000,theta_norm,1,14.134725141,14.049230367212065,0.08549477378793569,0.006048562878661475
3000000000,theta_norm,2,21.022039639,20.88399108639631,0.13804855260368853,0.006566848649052181
3000000000,theta_norm,3,25.01085758,25.060789303675577,0.04993172367557719,0.0019964019032880035
3000000000,theta_norm,4,30.424876126,30.376714307485543,0.04816181851445833,0.0015829750075235633
3000000000,theta_norm,5,32.935061588,33.03467680939053,0.09961522139052903,0.003024594963163031
3000000000,theta_norm,6,37.586178159,37.591183955513365,0.005005796513366079,0.00013318184392651378
3000000000,theta_norm,7,40.918719012,41.00856431510549,0.08984530310549133,0.002195701753985576
3000000000,theta_norm,8,43.327073281,43.28681788816691,0.04025539283308888,0.0009291048248749788
3000000000,theta_norm,9,48.005150881,47.843325034289734,0.1618258467102649,0.0033710100633037297
3000000000,theta_norm,10,49.773832478,49.741869678507584,0.03196279949241898,0.0006421607077684145
3000000000,psi_norm,1,14.134725141,14.049230367212065,0.08549477378793569,0.006048562878661475
3000000000,psi_norm,2,21.022039639,20.88399108639631,0.13804855260368853,0.006566848649052181
