x,t,theta_norm,psi_norm
357419019,19.69441937507358,-1.1548402795172612,-0.1174309188528032
357460173,19.694534510084978,-1.1616712213747895,-0.1243215803335785
357501331,19.69464964509638,-1.1603672395202906,-0.12307731359303359
357542494,19.69476478010778,-1.1426499623095665,-0.105419748437431
357583663,19.69487991511918,-1.15440154024033,-0.11723103681394258
357624835,19.69499505013058,-1.1475515615018834,-0.11044076256033557
357666013,19.69511018514198,-1.1399654585524548,-0.10239366304649745
357707195,19.69522532015338,-1.1638193357842783,-0.125786593557172
357748382,19.695340455164782,-1.1400227251988957,-0.1020497382178091
357789574,19.69545559017618,-1.1768722711615784,-0.1389590363603738
357830770,19.69557072518758,-1.189969145026412,-0.1521156578879623
357871971,19.69568586019898,-1.176246803144226,-0.13793249424626758
357913177,19.69580099521038,-1.163818517250685,-0.12556397984714135
357954388,19.695916130221782,-1.1630944469593445,-0.1243791659713725
357995604,19.69603126523318,-1.167826766353322,-0.12917128068244352
358036824,19.696146400244583,-1.162348244887293,-0.12375255000966981
358078049,19.69626153525598,-1.1061193773786875,-0.06758347022060002
358119278,19.696376670267384,-1.1302375632893733,-0.0917614393264152
358160513,19.696491805278782,-1.1171903474976193,-0.07877400510465458
358201752,19.696606940290184,-1.1241163752124883,-0.08575980986404261
358242996,19.696722075301583,-1.1791628831443515,-0.1408660917640693
358284245,19.696837210312985,-1.1376794984664191,-0.0994424779771624
358325498,19.696952345324384,-1.1525884177606287,-0.114411163635825
358366756,19.697067480335786,-1.1812734450561337,-0.14315595421758065
358408019,19.697182615347185,-1.244541079080896,-0.20648334844960892
358449287,19.697297750358587,-1.2196209778060532,-0.18162300430226713
358490559,19.697412885369985,-1.2261117620560291,-0.18817354115154747
358531837,19.697528020381384,-1.2287448513250767,-0.1908663813864739
358573119,19.697643155392786,-1.2128522213072417,-0.1750334978052613
358614405,19.697758290404185,-1.2138025213142523,-0.17604353971960843
358655697,19.697873425415587,-1.2202573578254243,-0.18255811650210427
358696993,19.697988560426985,-1.175947193764411,-0.1383076881820717
358738294,19.698103695438387,-1.2098931731588685,-0.1723134002332899
358779600,19.698218830449786,-1.2274475353814764,-0.18992749202766088
358820910,19.698333965461188,-1.2233605644626109,-0.1859002461491326
358862225,19.698449100472587,-1.2122463569687199,-0.17484576060952764
358903545,19.69856423548399,-1.1618726010893068,-0.12453172359757374
