x_max,signal,peak_omega,amp_norm
2000000,theta_norm,24.492512082867666,0.39439145196575104
2000000,theta_norm,25.172859640725104,0.5177564887611691
2000000,theta_norm,29.93529254572715,0.3005866326440288
2000000,theta_norm,30.615640103584585,0.4243806849052192
2000000,theta_norm,32.65668277715689,0.4040591002409405
2000000,theta_norm,33.337030335014326,0.32505826334769194
2000000,theta_norm,37.41911568215894,0.37549425467062125
2000000,theta_norm,38.09946324001637,0.2856218296794964
2000000,theta_norm,40.820853471446114,0.3265536067644014
2000000,theta_norm,42.86189614501842,0.25631198046812437
2000000,theta_norm,43.54224370287585,0.31450811390744454
2000000,theta_norm,48.3046766078779,0.2466912718875009
2000000,theta_norm,49.66537172359277,0.29421765860221555
2000000,theta_norm,53.067109512879945,0.2654462102249886
2000000,theta_norm,56.46884730216713,0.23956733342473036
2000000,psi_norm,13.606951157148705,0.6972158416848795
2000000,psi_norm,14.28729871500614,1.0
2000000,psi_norm,14.967646272863576,0.34685925005648194
2000000,psi_norm,20.410426735723057,0.40604218009970994
2000000,psi_norm,21.09077429358049,0.6821742536118609
2000000,psi_norm,21.771121851437925,0.2899561384134638
2000000,psi_norm,24.492512082867666,0.37846769485728265
2000000,psi_norm,25.172859640725104,0.5471608758013401
2000000,psi_norm,29.93529254572715,0.3346331844688345
2000000,psi_norm,30.615640103584585,0.4564976913376721
2000000,psi_norm,32.65668277715689,0.4090221864697037
2000000,psi_norm,33.337030335014326,0.33984732414006275
2000000,psi_norm,37.41911568215894,0.3737988328091885
2000000,psi_norm,38.09946324001637,0.26622851026789707
2000000,psi_norm,40.820853471446114,0.34487238943456816
2000000,psi_norm,43.54224370287585,0.3035432914482414
2000000,psi_norm,48.3046766078779,0.2732165605545625
2000000,psi_norm,49.66537172359277,0.2900089853404476
2000000,psi_norm,53.067109512879945,0.2734538746300406
2000000,psi_norm,56.46884730216713,0.2567840258041496
5000000,theta_norm,13.616117322240576,0.6197181572291385
5000000,theta_norm,14.235031745978786,1.0
5000000,theta_norm,14.853946169716995,0.4054519264561868
5000000,theta_norm,20.424175983360865,0.31967863664521357
5000000,theta_norm,21.043090407099072,0.6297596698487524
5000000,theta_norm,21.66200483083728,0.27389191352969683
5000000,theta_norm,24.75657694952832,0.49681571562263055
5000000,theta_norm,25.37549137326653,0.4269529484682263
5000000,theta_norm,30.326806763172193,0.42768379120232436
5000000,theta_norm,30.945721186910404,0.2827521263733393
5000000,theta_norm,32.80246445812503,0.42362469638783723
5000000,theta_norm,33.421378881863234,0.26694912067286053
5000000,theta_norm,37.134865424292485,0.2651259460266723
5000000,theta_norm,37.75377984803069,0.37894532468290626
5000000,theta_norm,40.84835196672173,0.3234862919228943
5000000,theta_norm,43.32400966167456,0.3319912062402661
5000000,theta_norm,47.65641062784202,0.23517353743817987
5000000,theta_norm,48.275325051580225,0.24418159123411265
5000000,theta_norm,49.51315389905664,0.2646457064185927
5000000,theta_norm,59.41578467886798,0.23877808028707764
5000000,psi_norm,13.616117322240576,0.6396815828480684
5000000,psi_norm,14.235031745978786,1.0
5000000,psi_norm,14.853946169716995,0.3860366539633064
5000000,psi_norm,20.424175983360865,0.36048429568625723
5000000,psi_norm,21.043090407099072,0.6763925414366982
5000000,psi_norm,21.66200483083728,0.31777293715641786
5000000,psi_norm,24.75657694952832,0.49559678796159357
5000000,psi_norm,25.37549137326653,0.4505252202892801
5000000,psi_norm,30.326806763172193,0.45549305916493876
5000000,psi_norm,30.945721186910404,0.2994737414733449
5000000,psi_norm,32.80246445812503,0.4283238987408542
5000000,psi_norm,33.421378881863234,0.2794799123247317
5000000,psi_norm,37.134865424292485,0.2667658007219698
5000000,psi_norm,37.75377984803069,0.3676256254820857
5000000,psi_norm,40.84835196672173,0.3393931253634238
5000000,psi_norm,43.32400966167456,0.3226719728335447
5000000,psi_norm,47.65641062784202,0.2513840355772204
5000000,psi_norm,48.275325051580225,0.26499703187551016
